Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-2.146660094504571,0.22617071085352908,-3.458010773719797,-2.8737103617125186,-2.5732559963936206
VIX Index  (L1),-2.4683312293766058,0.12337102001707834,-3.458010773719797,-2.8737103617125186,-2.5732559963936206
Freddie Mac 30 Year Mortgage Rate,-0.801298200778615,0.8187404335082286,-3.4573260719088132,-2.873410402808354,-2.573095980841316
U.S. 5-year Treasury constant maturity rate,1.4223981987414949,0.9972135554130244,-3.4578942529658563,-2.8736593200231484,-2.573228767361111
CDX HY Spread,-1.8573198671906246,0.3523976854286033,-3.4582467982399105,-2.8738137461081323,-2.5733111490323846
CDX IG Spread,-1.6596142426150393,0.45203126367139707,-3.457437824930831,-2.873459364726563,-2.573122099570008
