Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-1.166678698503868,0.6877630023575045,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
VIX Index  (L1),-4.005514565408164,0.001381909055340438,-3.4569962781990573,-2.8732659015936024,-2.573018897632674
Freddie Mac 30 Year Mortgage Rate,-0.7244243602699794,0.8403212450051789,-3.4575505077947746,-2.8735087323013526,-2.573148434859185
U.S. 5-year Treasury constant maturity rate,-1.372902530666381,0.5951958564346429,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
CDX HY Spread,-2.337992831862194,0.1600070617043628,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
CDX IG Spread,-2.7534869609525394,0.06523110767332592,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
