Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-0.6998874794745388,0.8467786810866214,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
VIX Index  (L1),-3.8242526159961736,0.002668701186046874,-3.4569962781990573,-2.8732659015936024,-2.573018897632674
Freddie Mac 30 Year Mortgage Rate,-1.6944074289848037,0.4339962169082011,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
U.S. 5-year Treasury constant maturity rate,-0.7751217342851894,0.8263208736881871,-3.458128284586202,-2.873761835239286,-2.5732834559706235
CDX HY Spread,-2.8566073253073125,0.05063167049738046,-3.457105309726321,-2.873313676101283,-2.5730443824681606
CDX IG Spread,-3.7503056069556266,0.003458698980433018,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
