Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-1.3182793111407671,0.6207685701340339,-3.457664132155201,-2.8735585105960224,-2.5731749894132916
VIX Index  (L1),-2.0870426759695584,0.2497566246193887,-3.4577787098622674,-2.873608704758507,-2.573201765981991
Freddie Mac 30 Year Mortgage Rate,-0.6037883839609366,0.870123707486043,-3.457664132155201,-2.8735585105960224,-2.5731749894132916
U.S. 5-year Treasury constant maturity rate,-1.7415959127036968,0.40981838968596784,-3.457664132155201,-2.8735585105960224,-2.5731749894132916
CDX HY Spread,-2.783535884223182,0.06066430768448244,-3.457664132155201,-2.8735585105960224,-2.5731749894132916
CDX IG Spread,-2.498386207798713,0.11586747175519452,-3.457664132155201,-2.8735585105960224,-2.5731749894132916
