Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-2.245832220356149,0.19003328227452332,-3.4573260719088132,-2.873410402808354,-2.573095980841316
VIX Index  (L1),-3.382581297274356,0.011567201658798456,-3.457105309726321,-2.873313676101283,-2.5730443824681606
Freddie Mac 30 Year Mortgage Rate,-2.0217553673991326,0.2771163402313951,-3.457215237265747,-2.873361841566324,-2.5730700760129555
U.S. 5-year Treasury constant maturity rate,-3.1809017107390454,0.02111712143873575,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
CDX HY Spread,-1.976781628534787,0.29684540676606386,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
CDX IG Spread,-1.8084605528594149,0.3762694278685362,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
