Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-0.9595008114189054,0.7677474958493589,-3.4573260719088132,-2.873410402808354,-2.573095980841316
VIX Index  (L1),-2.938614595578715,0.04103839687902408,-3.4583663275730476,-2.8738660999177132,-2.5733390785693766
Freddie Mac 30 Year Mortgage Rate,1.0436584644607432,0.9947058895495972,-3.4573260719088132,-2.873410402808354,-2.573095980841316
U.S. 5-year Treasury constant maturity rate,0.10835381324528377,0.9666268411287418,-3.4575505077947746,-2.8735087323013526,-2.573148434859185
CDX HY Spread,-0.7289851442985733,0.8390982167757359,-3.4573260719088132,-2.873410402808354,-2.573095980841316
CDX IG Spread,-0.7995844503948109,0.8192441017129161,-3.4573260719088132,-2.873410402808354,-2.573095980841316
