Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-0.6052134679873918,0.8697996397268467,-3.457215237265747,-2.873361841566324,-2.5730700760129555
VIX Index  (L1),-2.720459804969839,0.07056425075120464,-3.4573260719088132,-2.873410402808354,-2.573095980841316
Freddie Mac 30 Year Mortgage Rate,-0.07746107893241312,0.9516377348626246,-3.4573260719088132,-2.873410402808354,-2.573095980841316
U.S. 5-year Treasury constant maturity rate,-0.5271580838826242,0.886606938704177,-3.457215237265747,-2.873361841566324,-2.5730700760129555
CDX HY Spread,-0.6855112657217015,0.8504668374710707,-3.457215237265747,-2.873361841566324,-2.5730700760129555
CDX IG Spread,-0.13714035644981537,0.9456112443808323,-3.457215237265747,-2.873361841566324,-2.5730700760129555
