Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-2.08020238531326,0.2525494702905703,-3.5011373281819504,-2.8924800524857854,-2.5832749307479226
VIX Index  (L1),-3.5535451109038547,0.0067138348642853405,-3.5011373281819504,-2.8924800524857854,-2.5832749307479226
Freddie Mac 30 Year Mortgage Rate,-1.0398979027867992,0.7384358476770033,-3.5011373281819504,-2.8924800524857854,-2.5832749307479226
U.S. 5-year Treasury constant maturity rate,-3.490427648358135,0.00823636257026687,-3.506057133647011,-2.8946066061911946,-2.5844100201994697
CDX HY Spread,-2.1251390934282726,0.23452691709843754,-3.503514579651927,-2.893507960466837,-2.583823615311909
CDX IG Spread,-3.2214057860829386,0.018778585722485773,-3.503514579651927,-2.893507960466837,-2.583823615311909
