Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-0.9727953639869676,0.7630568199025898,-3.653519805908203,-2.9572185644531253,-2.6175881640625
VIX Index  (L1),-3.476895667160032,0.008600671002069167,-3.6699197407407405,-2.9640707407407407,-2.621171111111111
Freddie Mac 30 Year Mortgage Rate,-2.7049224825510123,0.0731903311813165,-3.653519805908203,-2.9572185644531253,-2.6175881640625
U.S. 5-year Treasury constant maturity rate,-3.121566251813968,0.02499781239846392,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074
CDX HY Spread,-2.785429253976554,0.060385427102098155,-3.661428725118324,-2.960525341210433,-2.6193188033298647
CDX IG Spread,-1.5732528637480552,0.4970140239518753,-3.653519805908203,-2.9572185644531253,-2.6175881640625
