Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-1.341905274698403,0.6097893437432023,-3.4569962781990573,-2.8732659015936024,-2.573018897632674
VIX Index  (L1),-5.0356107740568,1.885986576255415e-05,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
Freddie Mac 30 Year Mortgage Rate,-1.8317109082360443,0.36483559429422335,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
U.S. 5-year Treasury constant maturity rate,-2.681148040882821,0.07735767805163567,-3.4569962781990573,-2.8732659015936024,-2.573018897632674
CDX HY Spread,-3.564025128414492,0.006487228390106369,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
CDX IG Spread,-2.0278791213741534,0.2744844167810505,-3.457215237265747,-2.873361841566324,-2.5730700760129555
