Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
SPX Index ,-1.5612386294060923,0.5030296968388913,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
VIX Index  (L1),-2.676081952080666,0.07826936931468954,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
Freddie Mac 30 Year Mortgage Rate,-2.3535963841240375,0.1552638928979887,-3.457105309726321,-2.873313676101283,-2.5730443824681606
U.S. 5-year Treasury constant maturity rate,-1.9146434237481622,0.3252040484004704,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
CDX HY Spread,-1.6665598730215534,0.44841892838082076,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
CDX IG Spread,-1.5121063290761654,0.5275142368608268,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876
